ENSMUST00000103353	IGKV4-61
ENSMUST00000103354	IGKV4-59
ENSMUST00000200639	IGKV4-60
ENSMUST00000197448	IGKV4-58
ENSMUST00000103355	IGKV4-58
ENSMUST00000196590	IGKV13-57-2
ENSMUST00000103356	IGKV4-57-1
ENSMUST00000198063	IGKV13-57-1
ENSMUST00000103357	IGKV4-57
ENSMUST00000198481	IGKV13-56-1
ENSMUST00000198436	IGKV4-56
ENSMUST00000103359	IGKV4-55
ENSMUST00000196495	IGKV13-54-1
ENSMUST00000200400	IGKV13-55-1
